Creation_Date,Estee_ID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
5/3/2021,BRGOLLACNPR4BR00,2,100,23.47,Executed,36:18.5
5/3/2021,BRPRIOACNOR1BR00,2,100,91.52,Executed,36:11.5
5/3/2021,BRPRIOACNOR1BR00,2,100,91.52,Executed,36:14.7
5/3/2021,BRTRPLACNPR1BR00,2,100,26.67,Executed,36:25.9
5/3/2021,BRCYREACNOR7BR00,1,100,23.44,Executed,36:14.4
5/3/2021,BRLINXACNOR0BR00,1,100,37.69,Executed,37:39.8
5/3/2021,BRTOTSACNOR8BR00,2,100,32.34,Executed,36:27.1
5/3/2021,BRCCROACNOR2BR00,2,100,12.63,Executed,36:37.5
5/3/2021,BRAZULACNPR4BR00,1,100,38.13,Executed,36:22.7
5/3/2021,BRRAPTACNPR4BR00,2,100,14.23,Executed,36:14.3
5/3/2021,BRRAPTACNPR4BR00,2,100,14.23,Executed,36:16.7
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:17.9
5/3/2021,BRCYREACNOR7BR00,1,100,23.44,Executed,36:14.8
5/3/2021,BRPRIOACNOR1BR00,2,100,91.55,Executed,36:17.6
5/3/2021,BRCSNAACNOR6BR00,1,100,47.49,Executed,36:18.3
5/3/2021,BRCYREACNOR7BR00,1,100,23.45,Executed,36:39.9
5/3/2021,BRWIZSACNOR1BR00,1,100,10.88,Executed,36:19.7
5/3/2021,BRBRAPACNPR2BR00,2,100,70.93,Executed,36:33.2
5/3/2021,BRALPAACNPR7BR00,1,100,39.84,Executed,36:32.5
5/3/2021,BRMRFGACNOR0BR00,1,100,18.76,Executed,36:15.8
5/3/2021,BRMRFGACNOR0BR00,1,100,18.77,Executed,36:57.4
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:40.1
5/3/2021,BRBRMLACNOR9BR00,2,100,10,Executed,36:27.0
5/3/2021,BRSULACDAM12BR00,2,100,33.07,Executed,36:28.7
5/3/2021,BRRAPTACNPR4BR00,2,100,14.23,Executed,37:07.3
5/3/2021,BRBPACUNT006BR00,2,100,111.49,Executed,36:35.8
5/3/2021,BRDIRRACNOR0BR00,2,100,12.91,Executed,36:42.4
5/3/2021,BRPRIOACNOR1BR00,2,100,91.58,Executed,36:20.1
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:19.0
5/3/2021,BRBBDCACNOR1BR00,2,100,21.2399,Executed,36:18.0
5/3/2021,BRBBDCACNOR1BR00,2,100,21.25,Executed,37:12.0
5/3/2021,BREMBRACNOR4BR00,2,100,15.87,Executed,36:18.7
5/3/2021,BRCSNAACNOR6BR00,1,100,47.49,Executed,36:20.0
5/3/2021,BRGOLLACNPR4BR00,2,100,23.47,Executed,37:13.4
5/3/2021,BRVIVTACNOR0BR00,1,100,42.78,Executed,36:24.4
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:19.9
5/3/2021,BREMBRACNOR4BR00,2,100,15.87,Executed,36:25.5
5/3/2021,BRYDUQACNOR3BR00,1,100,29.13,Executed,37:52.5
5/3/2021,BRWIZSACNOR1BR00,1,100,10.8699,Executed,36:19.7
5/3/2021,BRWIZSACNOR1BR00,1,100,10.8699,Executed,36:19.7
5/3/2021,BRWIZSACNOR1BR00,1,100,10.89,Executed,36:21.8
5/3/2021,BRPRIOACNOR1BR00,2,100,91.58,Executed,36:23.6
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:20.9
5/3/2021,BRCSNAACNOR6BR00,1,100,47.49,Executed,36:55.9
5/3/2021,BRABEVACNOR1BR00,1,100,14.75,Executed,36:25.6
5/3/2021,BRBBSEACNOR5BR00,2,100,22.28,Executed,37:12.6
5/3/2021,BRLIGTACNOR2BR00,2,100,17.35,Executed,36:23.4
5/3/2021,BRWIZSACNOR1BR00,1,100,10.88,Executed,36:34.9
5/3/2021,BRHYPEACNOR0BR00,2,100,34.34,Executed,36:22.5
5/3/2021,BRHYPEACNOR0BR00,2,100,34.35,Executed,36:46.9
5/3/2021,BRRADLACNOR0BR00,1,100,26.58,Executed,37:23.5
5/3/2021,BRAZULACNPR4BR00,1,100,38.12,Executed,36:26.7
5/3/2021,BRJBSSACNOR8BR00,1,100,29.42,Executed,36:30.5
